Bird Species
Mountain Oriole
Rufous-tailed Babbler
African Emerald Cuckoo
Short-eared Owl
Roraiman Antwren
Yellow Tyrannulet
Golden-shouldered Parrot
Black-hooded Sunbeam
Red Collared Dove
Yellow-bellied Bush Warbler
Golden-eared Tanager
Snowy Sheathbill
Red-fronted Antpecker
Plaintive Cuckoo
Tanimbar Boobook
Lesser Shrike-Tyrant
Pied Honeyeater
Antarctic Petrel
Rufescent Imperial Pigeon
Chotoy Spinetail
Buru Boobook
Sumba Buttonquail
Grey Imperial Pigeon
European Bee-eater
Silky-tailed Nightjar
Usambara Thrush
Black-banded Flycatcher
Green-backed Tit
Black-fronted Brushfinch
Griffon Vulture
Ross's Turaco
White-headed Woodpecker
Great Bowerbird
Gurney's Pitta
Black-faced Antbird
Citron-throated Toucan
Groundscraper Thrush
Ochre-flanked Tapaculo
Archbold's Nightjar
Chestnut-rumped Woodcreeper
Black-fronted Bushshrike
White-browed Tit-warbler
Sulphur-breasted Warbler
Olive-headed Lorikeet
Bedford's Paradise Flycatcher
Reichenow's Seedeater
Snowy-crowned Tern
Somali Crow
Black-throated Thrush
Greater Roadrunner
Tiny Sunbird
Javan Green Magpie
Azure Kingfisher
Laughing Falcon
Nazca Booby
Oriental Turtle Dove
Slender-billed Weaver
Rufous Fishing Owl
Rufous Monarch
Olive-capped Flowerpecker
Blue-capped Cordon-bleu
Tucuman Amazon
Collared Kingfisher
Red-necked Crake
Yellow-rumped Flowerpecker
Chestnut-bellied Cotinga
Gabar Goshawk
Verreaux's Eagle
Crossley's Ground Thrush
Cape Siskin
Guianan Tyrannulet
Black-and-white Bulbul
Great Hanging Parrot
Orange-fronted Fruit Dove
Angolan Cave Chat
Asian Openbill
Wallacean Whistler
Crimson Topaz
Banded Kestrel
Malachite Sunbird
Black Jacobin
Forest Scrub Robin
Yellow-eared Barbet
Brown Tanager
Slaty Antwren
Huayco Tinamou
Heuglin's White-eye
Tanimbar Oriole
Somali Sparrow
Black-crested Antshrike
Red-capped Cardinal
Red-lored Whistler
White-vented Plumeleteer
Black-chested Jay
Tawny-bellied Babbler
White-cheeked Partridge
Black Pitohui
Pale-faced Bare-eye
Rufous-capped Motmot
White-naped Yuhina
Perija Tapaculo
Eastern Whipbird
Mount Cameroon Speirops
Puerto Rican Parakeet
Tawny-faced Quail
Apostlebird
Ash-winged Antwren
Tawny-crowned Pygmy Tyrant
Nilgiri Wood Pigeon
Reunion Kestrel
Malagasy Coucal
Lesser Sand Plover
Moustached Kingfisher
Little Raven
Tibetan Serin
Gould's Petrel
South American Tern
Mindanao Hornbill
Stripe-headed Antpitta
Guira Tanager
Polynesian Imperial Pigeon
Golden-collared Honeycreeper
Lemon-browed Flycatcher
Tolima Blossomcrown
Pheasant Pigeon
Senegal Parrot
Frilled Monarch
Yellow-margined Flatbill
Aberdare Cisticola
Rusty-collared Seedeater
Wallacean Drongo
Whinchat
Black Cuckoo
Western Rosella
Southern Brown Kiwi
Short-toed Rock Thrush
Bare-headed Laughingthrush
Sucre Antpitta
White-rumped Shama
Black-tailed Gnatcatcher
Orange Chat
Scaly-breasted Bulbul
Rufescent Prinia
Uluguru Violet-backed Sunbird
Broad-tailed Grassbird
Cattle Tyrant
Violet-headed Hummingbird
Red-headed Parrotfinch
Leach's Storm Petrel
Bare-faced Ibis
Fulvous Antshrike
Brown Bullfinch
Large Niltava
Water Rail
Bornean Leafbird
Yucatan Bobwhite
Brown-capped Pygmy Woodpecker
Chestnut-crested Antbird
Harlequin Antbird
Somali Pigeon
Black-headed Bulbul
Helmeted Woodpecker
Short-tailed Starling
Coral-billed Ground Cuckoo
Locust Finch
Black Grasswren
Patagonian Canastero
Red-and-black Thrush
Purple Indigobird
Black-faced Cotinga
Todd's Antwren
Spot-tailed Nightjar
Double-toothed Barbet
Noisy Friarbird
Red-tailed Minla
Streak-backed Canastero
Grey-backed Shrike
Pied Currawong
Chipping Sparrow
Black Guillemot
Caica Parrot
White-chinned Woodcreeper
Barred Honeyeater
Brown-headed Nuthatch
Long-billed Crombec
Western Wood Pewee
Grey-crowned Woodpecker
Pale-billed Woodpecker
Pale Prinia
Sunda Cuckoo
Ant-eating Chat
Puerto Rican Vireo
Santa Marta Warbler
Galapagos Penguin
Grey-throated Sunbird
Rufous Hummingbird
Willcocks's Honeyguide
Purple-crested Turaco
White-eyed Stipplethroat
Montane Foliage-gleaner
Ross's Goose
Black Grouse
Large-billed Seed Finch
Blue-headed Fantail
Mauritius Grey White-eye
African Thrush
Flame-crowned Flowerpecker
Northern Saw-whet Owl
Chinspot Batis
White-bridled Finch
Gabela Helmetshrike
Dusky Tetraka
Broad-billed Parrot
Grey-throated Babbler
Smith's Longspur
Scaly-sided Merganser
Swift Parrot
White-backed Black Tit
Cape Shoveler
Javan Blue Flycatcher
Western Crested Berrypecker
Wonga Pigeon
Ashy Minivet
Planalto Tyrannulet
Swainson's Thrush
Yellow-breasted Boatbill
Black Nunbird
African Barred Owlet
Andean Negrito
Asian Dowitcher
Eastern Yellow Robin
Cameroon Greenbul
Sind Woodpecker
Malaysian Blue Flycatcher
Camiguin Bulbul
Hume's White-eye
Solomons Frogmouth
Gabon Batis
Choco Trogon
Malabar Whistling Thrush
Comoros Green Pigeon
Scissor-tailed Nightjar
Black-and-white Antbird
White-chested Babbler
Rufous-throated Tanager
Northern Wheatear
Yellow Tit
Pine Siskin
Rufous-breasted Flycatcher
Red-faced Cormorant
Mountain Quail
Mayotte Drongo
Venezuelan Wood Quail
Brown Scrub Robin
Puna Ground Tyrant
Dark Pewee
Helmeted Curassow
Common Hill Myna
Greater Honeyguide
Swee Waxbill
Indochinese Roller
Striped Sparrow
Solitary Cacique
Kakapo
Barnacle Goose
Olive-breasted Greenbul
Lazuli Bunting
Channel-billed Cuckoo
White-eared Brown Dove
Grey Noddy
North Island Kokako
Koepcke's Hermit
Trocaz Pigeon
