Bird Species
Madagascar Partridge
Mitred Parakeet
Tumbes Sparrow
Yunnan Fulvetta
Indian Roller
Plumbeous Kite
Black-headed Cuckooshrike
Benguela Long-billed Lark
Red-billed Quelea
Rufous-browed Hemispingus
Chestnut-vented Warbler
Kikau
Pygmy Flycatcher
Sri Lanka Bush Warbler
Brown-throated Sunbird
Purple-throated Euphonia
Socotra Cormorant
Baglafecht Weaver
Rufous-throated Dipper
Brown-capped Weaver
Blue-capped Fruit Dove
Spot-necked Babbler
Eurasian Whimbrel
Southern Fulmar
Marsh Tit
Hombron's Kingfisher
Giant White-eye
Black-collared Bulbul
White-capped Tanager
Red-tailed Tropicbird
Mangrove Gerygone
Sand Martin
Oriole Finch
Townsend's Solitaire
Moss-backed Tanager
Berthelot's Pipit
Banded Fruit Dove
Spot-throated Babbler
Long-tailed Nightjar
Tessmann's Flycatcher
Ashy Woodpecker
Woodhouse's Antpecker
Blue-throated Barbet
Mountain Masked Apalis
Purplish Jacamar
Hooded Tinamou
Atoll Starling
La Selle Thrush
Chestnut-crowned Warbler
Black Butcherbird
Spice Imperial Pigeon
White-winged Swamp Warbler
Rufous-sided Honeyeater
Spot-winged Rosefinch
Long-crested Eagle
Cave Swiftlet
Red-billed Pytilia
Japanese Pygmy Woodpecker
House Swift
Bugun Liocichla
Sao Tome Fiscal
Peruvian Diving Petrel
Paddyfield Warbler
Black-chested Fruiteater
Grey-capped Tyrannulet
Sooty Thicket Fantail
Ethiopian Oriole
Violet-hooded Starling
Golden Fruit Dove
Slaty Bristlefront
Humblot's Heron
Tanna Ground Dove
Cinereous-breasted Spinetail
Fulmar Prion
Olivaceous Piha
Kirk's White-eye
Grey-headed Batis
Nilgiri Flycatcher
Christmas Frigatebird
Timneh Parrot
Tanna Fruit Dove
Sierra Nevada Brushfinch
Rio Suno Antwren
Band-tailed Antbird
Blue-capped Rock Thrush
Saltmarsh Sparrow
Mayr's Honeyeater
Barred Rail
Red-backed Buttonquail
Brown-fronted Woodpecker
Barred Puffbird
Wood Warbler
Little Owl
Blue-fronted Robin
Chinese Pond Heron
Yellow-throated Bush Tanager
Sclater's Whistler
Red-capped Robin
Grey-crested Finch
Salvadori's Pheasant
White-breasted Tapaculo
Dark-throated Seedeater
White-crested Guan
Moustached Antwren
Cloud-forest Screech Owl
Crowned Sandgrouse
Dusky Eagle-Owl
Churring Cisticola
Diamantina Sabrewing
Alpine Accentor
Southern Yellow White-eye
Patagonian Sierra Finch
Rufous-faced Antpitta
American White Ibis
Cloud-forest Pygmy Owl
Grey-chinned Sunbird
Golden-tufted Mountain Grackle
Opal-crowned Tanager
East Brazilian Chachalaca
Upland Buzzard
American Yellow Warbler
'Maranhao-Piaui' Pygmy Tyrant
Margaret's Batis
Sennar Penduline Tit
Kakawahie
Southern Screamer
Southern Boubou
White Swamphen
Rufous-headed Ground Roller
Tufted Tit-Tyrant
Purple Heron
Sabine's Spinetail
Westland Petrel
Sclater's Monal
Cinnamon-headed Green Pigeon
Shining Sunbeam
Black-bellied Malkoha
Northern Carmine Bee-eater
Scaled Antpitta
Guayaquil Woodpecker
Dorst's Cisticola
Small Ground Finch
Red-cheeked Cordon-bleu
Pied Shrike-babbler
Garganey
Ochraceous Pewee
Drakensberg Siskin
Black-throated Shrike-Tanager
Yellow-rumped Marshbird
Crimson-fronted Barbet
Rufous-winged Antshrike
Mangrove Robin
Hair-crested Drongo
Superciliaried Hemispingus
Aplomado Falcon
White-bellied Pitohui
Plain Mountain Finch
Seram Thrush
Turkey Vulture
Tit Berrypecker
Tiny Tyrant-Manakin
Bates's Weaver
Masked Tanager
Grey-crowned Babbler
Livingstone's Flycatcher
Variegated Tinamou
Philippine Pygmy Woodpecker
Red-legged Seriema
Rufous-browed Peppershrike
Flavescent Flycatcher
Blue Vanga
White-winged Woodpecker
Nicobar Sparrowhawk
Black-billed Brushturkey
Magdalena Antbird
Middle American Screech Owl
Black-billed Wood Hoopoe
Black-breasted Buzzard
Black-browed Barbet
Green Racket-tail
Schlegel's Asity
Buffy-fronted Seedeater
Sunda Pygmy Woodpecker
Sooty-faced Finch
Russet-winged Spadebill
Akekee
White-browed Laughingthrush
Red-billed Leiothrix
Bulwer's Petrel
Black-faced Warbler
White-flanked Sunbird
Nias Hill Myna
Blue-headed Quail-Dove
White-bellied Piculet
Sharp-billed Canastero
Crinkle-collared Manucode
Banded Bay Cuckoo
White-throated Gerygone
Forster's Tern
Scheepmaker's Crowned Pigeon
Olive-backed Woodcreeper
Blackcap Babbler
Plume-toed Swiftlet
White-eared Bronze Cuckoo
Rouget's Rail
Olive-backed Woodpecker
Iphis Monarch
White-banded Swallow
Chestnut-bellied Imperial Pigeon
Yellow-browed Camaroptera
Greater Pewee
Biscutate Swift
Comoros Thrush
Arafura Shrikethrush
Zebra Dove
Imeri Warbling Antbird
Rufous-headed Pygmy Tyrant
Pale Martin
Arctic Warbler
Orange Bullfinch
Little Grey Flycatcher
Blue-winged Macaw
Chinese Sparrowhawk
Arabian Eagle-Owl
African Harrier-Hawk
Souza's Shrike
Anchieta's Sunbird
Naretha Bluebonnet
Croaking Cisticola
Torrent Tyrannulet
Bornean Forktail
Red-thighed Sparrowhawk
Red-throated Barbet
Rock Sparrow
Tibetan Lark
White-rimmed Brushfinch
Large Scrubwren
Chestnut-headed Flufftail
Timor Stubtail
Blue-winged Parakeet
White-backed Swallow
Winifred's Warbler
Cundinamarca Antpitta
Olive-backed Pipit
Eyebrowed Thrush
Volcano Hummingbird
Red-collared Babbler
Brown Babbler
Rio Orinoco Spinetail
Black-and-white Warbler
Mao
Plain Thornbird
Double-banded Sandgrouse
Capuchin Babbler
Coppersmith Barbet
Huia
Rock Partridge
Pale-billed Antpitta
White-rumped Seedeater
Bearded Mountaineer
Little Corella
Black-breasted Weaver
Spectacled Owl
Bismarck Whistler
Stripe-headed Rhabdornis
Grey-headed Mannikin
Pin-tailed Sandgrouse
Seychelles White-eye
Red-winged Parrot
Yellow-capped Pygmy Parrot
Slaty Cuckooshrike
Red-crested Pochard
Rufous-capped Lark
Long-billed Plover
Long-tailed Thrush
Kittlitz's Plover
Kabobo Apalis
Ruff
Crested Satinbird
Bar-crested Antshrike
Green-winged Pytilia
White-throated Hummingbird
Grey Go-away-bird
Greater Spotted Eagle
Olivaceous Piculet
Kordofan Lark
Altamira Yellowthroat
Henslow's Sparrow
Red Knot
Black-browed Albatross
Rufous-booted Racket-tail
Chatham Oystercatcher
Bridled White-eye
Red-browed Treecreeper
Varzea Thrush
Cocoi Heron
Bat Hawk
Akun Eagle-Owl
Marquesan Kingfisher
Black-eared Seedeater
Indian Spotted Creeper
Gartered Trogon
Tooth-billed Tanager
Merida Sunangel
Squacco Heron
Chestnut-backed Laughingthrush
Red-billed Teal
Green-headed Sunbird
Shoebill
Thick-billed Murre
Japanese Night Heron
Spangled Honeyeater
Tumbes Pewee
Moustached Hawk-Cuckoo
Grey Crested Tit
Grey Fantail
Orange-crested Flycatcher
White-spotted Wattle-eye
Streak-backed Tit-Spinetail
White-faced Plover
Writhed Hornbill
Red-browed Amazon
Brown-backed Mockingbird
Davison's Leaf Warbler
Sincora Antwren
White-collared Kite
Pied Butcherbird
Lesser Swamp Warbler
Brown-rumped Tapaculo
Dark-rumped Swift
Visayan Hornbill
Cinnamon Woodpecker
Yellow Cardinal
Turquoise Jay
White-winged Potoo
Black-necked Swan
Spot-breasted Laughingthrush
White-naped Seedeater
Silvery-flanked Antwren
Ivory-breasted Pitta
Moustached Turca
Yellow-vented Woodpecker
Perija Thistletail
Cape Gannet
Taita Fiscal
Malaita Fantail
Slender-billed Starling
Golden Eagle
Barbuda Warbler
Varied Triller
Lowland White-eye
Alor Boobook
Black-capped Tanager
Lesser Rhea
Moltoni's Warbler
Blanford's Rosefinch
Seram Friarbird
Great Xenops
Ethiopian Bee-eater
Pale-headed Woodpecker
Green-backed Trogon
Common Tailorbird
Eastern Plantain-eater
South Georgia Shag
Hartlaub's Gull
Cactus Wren
Corsican Nuthatch
Brown Wood Rail
Kordofan Sparrow
Black-crowned Waxbill
Red-and-green Macaw
Rufous Paradise Flycatcher
Red-breasted Partridge
Claudia's Leaf Warbler
Yellow-browed Toucanet
Mimic Honeyeater
Cassin's Flycatcher
Australian Ringneck
Boran Cisticola
Blue-crowned Chlorophonia
Sooty Fox Sparrow
Yellow-throated Apalis
Scaly-crowned Babbler
Muisca Antpitta
Mountain Chickadee
Superb Parrot
White-bellied Cinclodes
Malagasy White-eye
Grey-and-gold Warbler
Necklaced Barbet
Golden-backed Whistler
Reunion Rail
Rufous-bellied Euphonia
Gambaga Flycatcher
Copper-throated Sunbird
Common Blackbird
Black-headed Trogon
Fan-tailed Raven
Buff-necked Ibis
White-shouldered Antshrike
Shining Flycatcher
Red-billed Emerald
Talaud Rail
Cassin's Hawk-Eagle
Golden-collared Manakin
Pohnpei Kingfisher
Yellow-throated Woodland Warbler
White-bellied Dacnis
Black Scrub Robin
Rusty-backed Spinetail
Azure Gallinule
Rufous-vented Niltava
White-fronted Manakin
Ochre-fronted Antpitta
Lesser Kestrel
White-browed Piculet
Baltimore Oriole
Streak-breasted Treehunter
Socotra Golden-winged Grosbeak
Masked Finch
Ground Cuckooshrike
River Warbler
Black-lored Waxbill
Black Oystercatcher
Mauritius Night Heron
Green-backed Hillstar
Grey Kingbird
Drab Swiftlet
Andean Parakeet
Northern White-fringed Antwren
Macaroni Penguin
Emperor Fairywren
Chestnut-rumped Thornbill
Orange-breasted Falcon
Eiao Monarch
Chestnut-bellied Partridge
Belcher's Gull
Pirre Bush Tanager
Eurasian Wren
Grey-cowled Wood Rail
Tawny-crested Tanager
Lesser Antillean Saltator
Pygmy Nuthatch
Black-headed Tanager
Tanimbar Flycatcher
Whiskered Yuhina
Belted Flycatcher
Stejneger's Petrel
Tawny-breasted Wren-Babbler
Greenish Schiffornis
Black-backed Bush Tanager
Red Tanager
Green-breasted Mango
Common Square-tailed Drongo
Papuan Scrubwren
Oahu Alauahio
Cinnamon-rumped Seedeater
Lompobattang Leaf Warbler
Stripe-backed Antbird
Satin Bowerbird
Black-chested Prinia
Campina Thrush
Tyrannine Woodcreeper
Eurasian Penduline Tit
Silvered Antbird
Dwarf Jay
Serendib Scops Owl
Eastern Bonelli's Warbler
Sand-colored Nighthawk
Peruvian Seaside Cinclodes
Yellow-throated Scrubwren
Eurasian Woodcock
Metallic-winged Sunbird
Grey-bellied Tesia
Banded Woodpecker
Steinbach's Canastero
Tooth-billed Pigeon
Sombre Nightjar
Large Scimitar Babbler
Emerald-chinned Hummingbird
African Red-eyed Bulbul
Polynesian Ground Dove
Orange-crowned Euphonia
Black-winged Oriole
Bornean Black Magpie
Crimson-rumped Myzomela
Brown-billed Scythebill
White-breasted Robin
New Britain Sparrowhawk
Papuan Spine-tailed Swift
Bright-rumped Yellow Finch
Alagoas Foliage-gleaner
Sapphire-bellied Hummingbird
White-throated Oxylabes
Blue-winged Goose
Crimson-crowned Fruit Dove
Louisiade Whistler
Orange-fronted Parakeet
Spotted Antbird
Jamaican Blackbird
Spotted Greenbul
Hispaniolan Oriole
White-headed Vulture
Whitehead's Trogon
Viridian Dacnis
Araucaria Tit-Spinetail
White-eyed Attila
River Prinia
Grey Thrasher
Daurian Partridge
Collared Pratincole
Ruby-crowned Tanager
Long-tailed Sabrewing
Red-whiskered Bulbul
Pygmy Nightjar
Hooded Warbler
Violet-throated Metaltail
Least Flycatcher
Cliff Flycatcher
Streaked Barwing
White-collared Yuhina
Ochre-breasted Foliage-gleaner
Band-backed Wren
Boulder Finch
White-browed Coucal
Scarlet Myzomela
Paradise Tanager
Ihering's Antwren
Crested Treeswift
Common Scoter
Cuban Tody
Hartert's Leaf Warbler
Iraq Babbler
Rufous-vented Tit
New Zealand Bittern
Principe Sunbird
Chestnut-flanked Sparrowhawk
Guira Cuckoo
Black-crowned Sparrow-Lark
Hartlaub's Spurfowl
Purple-throated Woodstar
Lewis's Woodpecker
Grey-hooded Babbler
Pale-headed Rosella
Mussau Fantail
Baird's Junco
Green-breasted Pitta
Blue Waxbill
Makira Dwarf Kingfisher
Little Grassbird
Golden-bellied White-eye
White-fronted Tern
White-masked Antbird
Mauritius Kestrel
Golden-backed Bishop
Himalayan Cuckoo
Northern Shoveler
Worthen's Sparrow
Little Egret
Flame-throated Bulbul
Grace's Warbler
Striated Lorikeet
Sarus Crane
Black-headed Myzomela
Black-dotted Piculet
Sula Dwarf Kingfisher
Olson's Petrel
Andaman Shama
White-necked Puffbird
Ashy Robin
Northern Mockingbird
Sri Lanka Swallow
Taita Thrush
Spotted Bowerbird
Black-throated Tody-Tyrant
Pied Monarch
Heard Island Shag
Elegant Sunbird
Black-eared Fairy
Flaming Sunbird
Visayan Rhabdornis
Dusky Munia
Golden-collared Tanager
Tristram's Storm Petrel
Ovenbird
Bar-tailed Godwit
Paradise Shelduck
Olive-backed Oriole
Mrs. Hume's Pheasant
Trumpeter Hornbill
Golden-backed Mountain Tanager
Large Grey Babbler
Rufous-fronted Laughingthrush
Marquesan Swiftlet
Spectacled Flowerpecker
Chestnut Weaver
Rufous-necked Puffbird
Orange-breasted Trogon
Spix's Guan
Pale-vented Bush-hen
Pelzeln's Tody-Tyrant
Spangled Kookaburra
Buff-throated Tody-Tyrant
Bohol Sunbird
Moluccan Woodcock
Northern Giant Petrel
Great Antshrike
Falkland Steamer Duck
Rarotonga Monarch
Sulphur-breasted Myzomela
Victoria's Riflebird
Hooded Siskin
Red-winged Wood Rail
Tepui Antpitta
Alta Floresta Antpitta
Mauke Starling
Orange-breasted Bunting
Buffy Fish Owl
Sulawesi Myna
Saw-billed Hermit
Glistening-green Tanager
Cameroon Olive Greenbul
Legge's Hawk-Eagle
Green Sandpiper
Longuemare's Sunangel
Spectacled Tern
Long-tailed Starling
Aripuana Antwren
Tropical Parula
Antillean Mango
Ashy Thrush
Golden Parakeet
Chimney Swift
Plain Honeyeater
Vaux's Swift
Slender-billed Prion
Cape Weaver
Rajah Scops Owl
Yucatan Amazon
Red-fronted Rosefinch
Buff-winged Starfrontlet
Cook's Swift
Rufous Mourner
White-winged Magpie
Mindoro Racket-tail
Pampas Pipit
Indian Courser
Black-crested Warbler
Pale-legged Warbler
Wing-barred Piprites
Tundra Bean Goose
Dayak Blue Flycatcher
Common Yellowthroat
Red-cheeked Parrot
Tawny-breasted Tinamou
Cinnamon Teal
White-fronted Ground Dove
Yungas Dove
Dwarf Fruit Dove
Eurasian Curlew
Short-tailed Albatross
Tropical Kingbird
Campo Flicker
Semicollared Puffbird
Yellow-bellied Gerygone
Buff-banded Tyrannulet
Lanceolated Warbler
Ticking Doradito
Black-headed Sibia
Pallas's Reed Bunting
Talaud Bush-hen
Fraser's Sunbird
Roraiman Barbtail
Crocker Jungle Flycatcher
African Cuckoo
Yellow-tailed Oriole
Green-tailed Trainbearer
Slender Sheartail
Sclater's Wren
Little Penguin
White-fronted Amazon
Seychelles Magpie-Robin
Hunter's Sunbird
Wedge-tailed Hillstar
Yellow Oriole
Grey Penduline Tit
Pale-browed Treehunter
Chestnut-capped Laughingthrush
White-shouldered Fire-eye
White-crowned Parrot
Grauer's Broadbill
Western Osprey
Yellow-hooded Blackbird
Grey Junglefowl
Guianan Schiffornis
Wattled Starling
Ochraceous Attila
Puna Tinamou
Cauca Guan
Black-chested Snake Eagle
Perija Antpitta
Eastern Long-billed Lark
Boyd's Shearwater
Rufous-backed Fantail
Masked Gnatcatcher
Indian Scops Owl
Terrestrial Brownbul
Desert Whitethroat
Dark-backed Weaver
Black-rumped Waxbill
Glossy Flowerpiercer
Moheli Brush Warbler
Tahiti Swiftlet
Usambara Akalat
Swan Goose
Copper-tailed Starling
Usambara Double-collared Sunbird
Asian Koel
Hoary-throated Barwing
Rudd's Lark
Northern Nightingale-Wren
Green Warbler-Finch
Fiji Shrikebill
Spanish Sparrow
Loria's Satinbird
Mishmi Wren-Babbler
Dalat Shrike-babbler
Lawes's Parotia
Tawny-faced Gnatwren
Fork-tailed Drongo-Cuckoo
Killdeer
Sira Curassow
Castelnau's Antshrike
Cebu Hawk-Owl
White-headed Munia
Spotted Sandgrouse
Unadorned Flycatcher
Grey Sibia
Southern Scrub Flycatcher
Pileated Parrot
Hume's Hawk-Owl
Two-barred Warbler
Ferruginous Partridge
Bannerman's Weaver
White-chested Tinkerbird
Black-headed Lapwing
Brimstone Canary
Cuzco Warbler
Snowy-throated Babbler
Newton's Parakeet
Spotted Wood Owl
Sulphur-throated Finch
Brush Bronzewing
Drab-breasted Bamboo Tyrant
Ring-necked Duck
Eurasian Spoonbill
Buru White-eye
White-browed Wagtail
Philippine Megapode
Rufous-tailed Lark
Orinoco Piculet
Grey-faced Buzzard
Abyssinian Wheatear
Painted Bunting
Buff-breasted Flycatcher
Royal Penguin
Straw-tailed Whydah
Pacific Koel
Great Reed Warbler
Sapphire-rumped Parrotlet
Australasian Darter
Golden-winged Manakin
American Bittern
Philippine Fairy-bluebird
Oriental Scops Owl
Black-bellied Hummingbird
Scale-feathered Malkoha
Violet-necked Lory
Dune Lark
Sumatran Cochoa
North Island Brown Kiwi
Siberian Blue Robin
White-tailed Ptarmigan
Chestnut Rail
Cape Parrot
Cinnamon Quail-thrush
Pale-vented Pigeon
Wood Sandpiper
Koepcke's Screech Owl
Yellow-breasted Brushfinch
Black-faced Monarch
Red-rumped Woodpecker
Pale-tipped Inezia
Amazonian Grosbeak
Dugand's Antwren
Macquarie Parakeet
Black-and-chestnut Warbling Finch
Palm Cockatoo
Fawn-breasted Waxbill
Rote Leaf Warbler
Javan Kingfisher
Yellow-bellied Flycatcher
Oriental Dwarf Kingfisher
Hazel Grouse
Rose-ringed Parakeet
McConnell's Flycatcher
Black-throated Munia
Long-tailed Meadowlark
Sapayoa
Dusky Tit
Rodrigues Starling
Raiatea Parakeet
Purple Needletail
Vanikoro White-eye
Least Tern
Freckle-breasted Woodpecker
Wrentit
Silvery-cheeked Hornbill
Chachapoya Antpitta
Turquoise Dacnis
Brown Booby
Cream-winged Cinclodes
Australian Masked Owl
Red-necked Phalarope
Reunion Ibis
New Zealand Pigeon
White-throated Grasswren
Inland Thornbill
Short-billed Leaftosser
Scissor-tailed Hummingbird
Scissor-tailed Kite
Pied Crow
White-bellied Mountaingem
Hooded Antpitta
Rusty Mouse-warbler
Japanese Waxwing
Rufous-winged Sparrow
White-throated Laughingthrush
Mottled Berryhunter
Indian Bush Lark
Indian Peafowl
Little Sparrowhawk
Rose-bellied Bunting
Southern Fiscal
Congo Sunbird
Chestnut-breasted Quail-thrush
Black Inca
Mauritius Blue Pigeon
Tepui Goldenthroat
Ochre-breasted Brushfinch
Brooks's Leaf Warbler
Fanti Drongo
Black-throated Finch
White-rumped Hawk
King Eider
Pictorella Mannikin
Dwarf Vireo
New Caledonian Parakeet
Fawn-breasted Brilliant
Rusty Thicketbird
Northern Pygmy Owl
Rimatara Reed Warbler
Chestnut-winged Cinclodes
Grey-necked Rockfowl
Metallic Pigeon
Hawaii Creeper
Green-fronted Hummingbird
Collared Palm Thrush
Cyprus Scops Owl
Carmiol's Tanager
White-chinned Thrush
Peruvian Sierra Finch
Taiwan Blue Magpie
Cambodian Laughingthrush
Dusky Myzomela
Waigeo Shrikethrush
American Cliff Swallow
Scaled Woodcreeper
Brown Firefinch
Bushy-crested Hornbill
Short-billed Honeycreeper
Asian Rosy Finch
Yellow Canary
Colorful Puffleg
White-tipped Plantcutter
Chestnut Piculet
Collared Myna
Vulturine Guineafowl
Makira Owl
White-eared Solitaire
Grey Bunting
Buff-thighed Puffleg
Pale Rosefinch
Black-winged Lory
Bananaquit
Fox's Weaver
Silvery-cheeked Antshrike
Crested Eagle
Sikkim Wedge-billed Babbler
Principe Starling
Chaco Sparrow
Silver-throated Tanager
Black Phoebe
Grand Comoro Brush Warbler
Point-tailed Palmcreeper
Australian Bustard
Black-collared Apalis
Sooty-capped Babbler
Bronze-winged Woodpecker
African Desert Warbler
Owston's Tit
Abyssinian Ground Hornbill
Friendly Fantail
Southern Grey-headed Sparrow
Blue Pitta
Yellow-browed Tody-Flycatcher
Blue-throated Toucanet
Fire-eyed Diucon
Bay-breasted Cuckoo
Santa Marta Parakeet
St. Helena Hoopoe
Slender-footed Tyrannulet
Puna Plover
Madagascar Serpent Eagle
Serra do Mar Tyrannulet
Purple Sunbird
European Greenfinch
Flame-rumped Tanager
Northern Double-collared Sunbird
Lilian's Lovebird
Sunda Frogmouth
Blackish-grey Antshrike
Black-and-white Mannikin
Arabian Waxbill
Temminck's Courser
Katanga Masked Weaver
Alder Flycatcher
Dusky-backed Jacamar
Mascarene Teal
Beautiful Sibia
Southern Tchagra
Para Gnatcatcher
Red-headed Woodpecker
Ring-billed Gull
Great Slaty Woodpecker
Ornate Lorikeet
St. Helena Plover
Thick-billed Miner
Coopmans's Tyrannulet
Amazilia Hummingbird
Plain Chachalaca
Bornean Spiderhunter
Cuban Macaw
Masked Crimson Tanager
Red-shouldered Vanga
Fire-crested Alethe
Red-headed Flameback
Florida Scrub Jay
Cassia Crossbill
Pulitzer's Longbill
Cinnamon Neopipo
Green-bearded Helmetcrest
New Guinea Bronzewing
Ruddy-breasted Crake
Crested Ant Tanager
Planalto Hermit
White-tailed Emerald
Wattled Curassow
Southern Hyliota
Black-throated Saltator
California Thrasher
Moluccan King Parrot
Plumbeous Ibis
Flightless Cormorant
American Robin
Eastern Bluebonnet
Senegal Batis
Yellow-mantled Widowbird
Pale-eyed Pygmy Tyrant
Broad-billed Fairywren
Mountain Saw-wing
Sharpbill
Bewick's Wren
Tsingy Wood Rail
Ashy Flowerpecker
Isabelline Wheatear
Cordillera Azul Antbird
Fairy Flycatcher
Tanzanian Red-billed Hornbill
Red-spectacled Amazon
Lanner Falcon
Sulphur-bellied Warbler
Yellow-bellied Hyliota
Buff-rumped Warbler
Horsfield's Bronze Cuckoo
Varied Sittella
White-eared Parakeet
Black-and-white Seedeater
Glossy Antshrike
Fatu Hiva Monarch
Yemen Linnet
White-browed Hermit
Red-capped Plover
Dusky Crimsonwing
Swallow Tanager
Tongan Ground Dove
Red-banded Flowerpecker
Javan Tesia
Plain-breasted Piculet
Dusky Leaftosser
Whyte's Barbet
Mantanani Scops Owl
Plain-pouched Hornbill
Bismarck Fantail
Bar-winged Rail
Dot-winged Antwren
Rufous-crowned Tody-Flycatcher
Glittering-bellied Emerald
Crimson-breasted Woodpecker
Cinereous Antshrike
Rock Ptarmigan
Pileated Woodpecker
Spot-billed Ground Tyrant
Bare-throated Whistler
Andean Tit-Spinetail
Halmahera Swiftlet
Silver Pheasant
Vogelkop Owlet-nightjar
Von der Decken's Hornbill
Blackish Pewee
Bolivian Tapaculo
Charming Hummingbird
Santa Cruz Shrikebill
Spotted Piculet
Beck's Petrel
Eastern Spinebill
Rusty-crowned Babbler
Satin Swiftlet
Streaky-headed Seedeater
Brown-rumped Seedeater
Grey-headed Goshawk
Rusty-naped Pitta
Yellow-breasted Warbler
Common Buttonquail
Perplexing Scrubwren
Black Noddy
Fulvous Babbler
Black Mannikin
Barred Fruiteater
Orange-fronted Plushcrown
Salvadori's Eremomela
Damara Red-billed Hornbill
Greater Racket-tailed Drongo
Lazuline Sabrewing
Vogelkop Whistler
Great Argus
Screaming Cowbird
Crimson Chat
Marsh Tapaculo
Tanager Finch
Spot-flanked Gallinule
Thick-billed Honeyguide
Coal Tit
Sinaloa Martin
Nilgiri Thrush
White-winged Guan
Golden-breasted Fulvetta
Corn Bunting
Black-eared Shrike-babbler
Malabar Lark
Chestnut-breasted Nigrita
Lesser Frigatebird
Johanna's Sunbird
Sanderling
Pacific Hornero
Jackson's Hornbill
Kinglet Manakin
Thick-billed Flowerpecker
Broad-winged Hawk
Malaita White-eye
Santa Marta Foliage-gleaner
Grey-green Fruit Dove
Hooded Oriole
Socotra White-eye
Panamanian Flycatcher
African Snipe
Western Spinebill
Black-and-white-casqued Hornbill
Southern Beardless Tyrannulet
Mocking Cliff Chat
Bushy-crested Jay
Whiskered Wren
Grey-headed Woodpecker
Orange Fruit Dove
White-bearded Helmetcrest
Siberian Jay
Cinnamon-breasted Tit
Black-capped Hemispingus
Brown Crake
Laura's Woodland Warbler
Kelp Gull
Hispaniolan Nightjar
Guanay Cormorant
Double-striped Thick-knee
Madagascar Cisticola
Taiwan Partridge
Schneider's Pitta
White-throated Mountaingem
Madagascar Ibis
Speckled Warbler
Northern Goshawk
Chico's Tyrannulet
Karoo Prinia
Long-billed Forest Warbler
Crested Myna
Sulawesi Pitta
Western Wattlebird
Augur Buzzard
Lesser Florican
Claret-breasted Fruit Dove
Australian Reed Warbler
Euler's Flycatcher
Snow Goose
Streak-throated Hermit
Grey-bellied Shrike-Tyrant
Pin-tailed Parrotfinch
Grey-crested Cacholote
Letter-winged Kite
Rufous-breasted Sparrowhawk
Blue-and-white Kingfisher
Baillon's Crake
Striated Antthrush
Lovely Fairywren
Mindanao Blue Fantail
Bougainville Crow
Blue-capped Tanager
Bornean Bristlehead
Dusky-brown Oriole
Red Phalarope
African Pitta
Scaled Spinetail
Glossy Swiftlet
Crested Caracara
Bar-winged Wood Wren
Tickell's Leaf Warbler
Eastern Alpine Mannikin
Makira Thrush
Chinese Grosbeak
Grey-throated White-eye
Rainforest Scops Owl
Veraguan Mango
Large Green Pigeon
Peruvian Treehunter
White-headed Starling
Ochre-breasted Catbird
Zappey's Flycatcher
Sangihe Hanging Parrot
Orange-breasted Green Pigeon
Green-billed Malkoha
Greyish Eagle-Owl
Sao Tome Oriole
Tooth-billed Wren
Speckled Nightingale-Thrush
Indochinese Cuckooshrike
Tasmanian Nativehen
Cuban Oriole
Philippine Frogmouth
Ortolan Bunting
Black Guan
Annobon Scops Owl
Black Hawk-Eagle
Southern Carmine Bee-eater
Willet
Outcrop Sabrewing
Tawny Pipit
Orange-chinned Parakeet
Sunset Lorikeet
Grey Wren
Restinga Tyrannulet
Sulawesi Woodcock
Moluccan Starling
Rufous-bellied Woodpecker
Flavescent Warbler
Red-stained Woodpecker
Red-billed Dwarf Hornbill
Tumbes Tyrant
Miombo Rock Thrush
Hartlaub's Turaco
Black-crowned Tityra
Lesser Hoopoe-Lark
White-tipped Dove
Black-capped Catbird
Blakiston's Fish Owl
Brown-eared Bulbul
Ascension Night Heron
Lilac-breasted Roller
Brown Falcon
Grey-bellied Spinetail
Trilling Tailorbird
Grey-winged Robin-Chat
Magpie Tanager
Black-bellied Wren
Pale Thrush
Eyebrowed Wren-Babbler
Christmas Shearwater
Finsch's Pygmy Parrot
Eurasian Crag Martin
Banded Honeyeater
McGregor's Cuckooshrike
Purple-throated Sunangel
Brazilian Ruby
Great Myna
Steppe Eagle
Rufous-thighed Kite
Andean Pygmy Owl
Eastern Marsh Harrier
Streaked Spiderhunter
Amethyst Brown Dove
Black-hooded Sierra Finch
White-tailed Flycatcher
Chapman's Bristle Tyrant
Lesser Noddy
Spot-throated Woodcreeper
Little Weaver
Crimson-headed Partridge
Black-rumped Flameback
Cinderella Waxbill
Sao Tome Paradise Flycatcher
Black Caracara
Flat-billed Vireo
Bali Myna
Chestnut-bellied Malkoha
Unicolored Antwren
Diamond Dove
King Bird-of-paradise
White-crowned Wheatear
Blue-headed Wood Dove
Rück's Blue Flycatcher
Cinnamon Warbling Finch
Short-billed Dowitcher
Guianan Trogon
Black-capped White-eye
Mindoro Scops Owl
White-bellied Erpornis
Japanese Grosbeak
Micronesian Imperial Pigeon
White-collared Swift
Crested Shriketit
Magellanic Woodpecker
Magenta Petrel
Malabar Barbet
Swallow-tailed Bee-eater
Bolivian Tyrannulet
Seaside Sparrow
African Hobby
Bahama Nuthatch
Rodrigues Warbler
Dead Sea Sparrow
Rufous-crested Tanager
Caspian Gull
Five-striped Sparrow
Steel-blue Flycatcher
